LRN,First Name,Last Name,Subject,Grade
8.27364E+11,John,Lazy,Filipino 1,85
8.27364E+11,John,Lazy,Math 1,98
8.27364E+11,John,Lazy,Science 1,88
1.19283E+11,Joy,Veluz,Filipino 1,75
1.19283E+11,Joy,Veluz,Math 1,75
1.19283E+11,Joy,Veluz,Science 1,88
1.82939E+11,Jun Moicel,Zuniga,Filipino 1,89
1.82939E+11,Jun Moicel,Zuniga,Math 1,84
1.82939E+11,Jun Moicel,Zuniga,Science 1,86
1.28305E+11,Bella,Mari,Filipino 1,89
1.28305E+11,Bella,Mari,Math 1,87
1.28305E+11,Bella,Mari,Science 1,79
19283748592,Hannah,Allanigue,Math 1,87
19283748592,Hannah,Allanigue,Science 1,89
