LRN,First Name,Last Name,Subject,Grade
827364019187,John,Lazy,Filipino 1,77
827364019187,John,Lazy,Math 1,98
827364019187,John,Lazy,Science 1,88
119283438925,Joy,Veluz,Filipino 1,75
119283438925,Joy,Veluz,Math 1,78
119283438925,Joy,Veluz,Science 1,75
182938574920,Jun Moicel,Zuniga,Filipino 1,85
182938574920,Jun Moicel,Zuniga,Math 1,95
182938574920,Jun Moicel,Zuniga,Science 1,77
128304750293,Bella,Mari,Filipino 1,76
128304750293,Bella,Mari,Math 1,74
128304750293,Bella,Mari,Science 1,88
192837485925,Hannah,Allanigue,Math 1,86
192837485925,Hannah,Allanigue,Science 1,92
