LRN,First Name,Last Name,Subject,Grade
827364019187,John,Lazy,Filipino 1,78
827364019187,John,Lazy,Math 1,78
827364019187,John,Lazy,Science 1,98
119283438925,Joy,Veluz,Filipino 1,85
119283438925,Joy,Veluz,Math 1,88
119283438925,Joy,Veluz,Science 1,95
182938574920,Jun Moicel,Zuniga,Filipino 1,75
182938574920,Jun Moicel,Zuniga,Math 1,75
182938574920,Jun Moicel,Zuniga,Science 1,87
128304750293,Bella,Mari,Filipino 1,86
128304750293,Bella,Mari,Math 1,94
128304750293,Bella,Mari,Science 1,78
192837485925,Hannah,Allanigue,Math 1,76
192837485925,Hannah,Allanigue,Science 1,82
