LRN,First Name,Last Name,Subject,Grade
827364019187,John,Lazy,Filipino 1,85
827364019187,John,Lazy,Math 1,79
827364019187,John,Lazy,Science 1,80
19283438925,Joy,Veluz,Filipino 1,93
19283438925,Joy,Veluz,Math 1,91
19283438925,Joy,Veluz,Science 1,90
182938574920,Jun Moicel,Zuniga,Filipino 1,80
182938574920,Jun Moicel,Zuniga,Math 1,77
182938574920,Jun Moicel,Zuniga,Science 1,79
128304750293,Bella,Mari,Filipino 1,82
128304750293,Bella,Mari,Math 1,86
128304750293,Bella,Mari,Science 1,89
19283748592,Hannah,Allanigue,Math 1,95
19283748592,Hannah,Allanigue,Science 1,95
