LRN,First Name,Last Name,Subject,Grade
827364019187,John,Lazy,Filipino 1,75.76
827364019187,John,Lazy,Math 1,76.86
827364019187,John,Lazy,Science 1,73.2
119283438925,Joy,Veluz,Filipino 1,89
119283438925,Joy,Veluz,Math 1,78.87
119283438925,Joy,Veluz,Science 1,91.53
182938574920,Jun Moicel,Zuniga,Filipino 1,87.88
182938574920,Jun Moicel,Zuniga,Math 1,83.82
182938574920,Jun Moicel,Zuniga,Science 1,87.32
128304750293,Bella,Mari,Filipino 1,91.42
128304750293,Bella,Mari,Math 1,92
128304750293,Bella,Mari,Science 1,87.98
192837485925,Hannah,Allanigue,Math 1,79.89
192837485925,Hannah,Allanigue,Science 1,86.75
