LRN,First Name,Last Name,Subject,Grade
976485-64-3297,Matt Lester,Babao,Filipino 1,85
976485-64-3297,Matt Lester,Babao,Science 1,85
976485-64-3297,Matt Lester,Babao,Math 1,85
976852-19-6328,Angelo Sebastien,Climacosa,Filipino 1,85
976852-19-6328,Angelo Sebastien,Climacosa,Science 1,85
976852-19-6328,Angelo Sebastien,Climacosa,Math 1,85
916435-51-8565,Josiah,Montoyya,Filipino 1,85
916435-51-8565,Josiah,Montoyya,Science 1,85
916435-51-8565,Josiah,Montoyya,Math 1,85
855447-59-6326,Wehyah,Allanigue,Filipino 1,85
855447-59-6326,Wehyah,Allanigue,Science 1,85
855447-59-6326,Wehyah,Allanigue,Math 1,85
